Run,OfflineError,TrackingError
1,6.487611665196465,1.6914379697116664
2,5.638097155793004,1.792617687629796
3,6.06010229316665,1.6749408135518187
4,4.402419401789956,1.099283987055739
5,4.927431293709231,1.4795853490108961
6,5.207746211204194,1.6151039075160434
7,6.0622542365350185,1.4909102296734502
8,5.164627202710056,1.231724190781528
9,5.770256431268706,1.7020934800426577
10,4.672109096747381,1.3737611683629256
11,5.742757245956098,1.1490789645853965
12,5.073363846758186,1.1189629321597072
13,5.276810154407832,1.5614604935606613
14,6.380180549477608,1.5919647338328724
15,5.098098410470348,1.4191300979270094
16,6.75842633786765,1.4124090489544978
17,6.794946038679034,1.6714674353572594
18,5.674555942632315,1.6129620392039092
19,5.188207235095937,1.7348584760788157
20,5.445274478042651,1.706769268424772
