Run,OfflineError,TrackingError
1,310.6807143575372,5.723066103188636
2,213.5831057266686,4.5979133096564935
3,289.39835554890226,5.146370243110531
4,266.88826382331905,5.031255587760107
5,259.7361943940969,5.020577116714594
6,262.4198916528487,5.28136090885542
7,306.000625080766,5.323716151039913
8,301.84852482914124,5.94624263895089
9,293.37395205151284,5.328356892620695
10,299.2783407504835,5.4364425162917165
11,262.6989551094307,5.389325576789606
12,258.3415352891303,4.95311916344064
13,400.27967655527516,7.039583990854629
14,257.60868088254864,5.446690155788826
15,245.0374818048715,5.112158982608312
16,183.53600701825934,3.9214678231920614
17,279.0462578462106,5.460490962881119
18,263.2751992592489,5.338077325364249
19,235.66874190930446,4.854930240094661
20,308.57641750623975,6.007945956902042
