Run,OfflineError,TrackingError
1,7.48277274228218,123.42935072236202
2,6.856328751976492,117.9072829105907
3,6.195456037865915,113.6688445739489
4,7.185684227951035,127.07913004008937
5,7.312987336266864,127.88283138406754
6,6.67304612260457,116.5675140138233
7,7.169107367470551,121.37213381988238
8,6.11548351692556,112.04587835716367
9,7.396236741512787,121.92243070725527
10,6.778814640273132,117.2965335109311
11,7.357260537860642,122.47576507814037
12,7.90709138569254,132.97964100768593
13,6.775137738367019,117.1705233467393
14,7.638693382257716,124.83903375556213
15,5.615222077080191,107.91601933756739
16,7.490488813358184,122.83846003777117
17,6.719138427218622,116.94050791170986
18,6.782225817999848,117.59097523013511
19,7.339604689565737,122.48176062217073
20,6.9453467302903285,118.79917223118224
