Run,OfflineError,TrackingError
1,14.612826923418684,204.9546620244527
2,13.310939347868318,193.22884898873855
3,14.276536107898558,202.92500015084636
4,14.198113149079047,202.54812034005488
5,14.59628043039577,206.50939536674147
6,13.863843454392365,200.03640431210533
7,13.481567705460796,196.67510946399685
8,13.985347218655665,200.20239519772932
9,13.634265884309936,197.10598143210012
10,13.754446328769014,196.9479559162911
11,14.42635902052509,203.59207337281921
12,14.252429727529961,203.39555677571127
13,14.364437450464989,204.43770114161345
14,14.392108395707483,204.3652052619571
15,14.064252943400056,201.42755917075246
16,14.559356098791788,205.92196574798356
17,14.715697570166306,206.38109804094427
18,14.491763041113888,204.80017586909605
19,13.897113956889969,201.04618546874042
20,13.724056201291505,197.6849230625669
