Run,OfflineError,TrackingError
1,65.10995291609001,488.4608685364156
2,56.05063821602143,447.7328251590296
3,49.742302090378736,417.8623025334106
4,54.87655726389864,448.773979004597
5,53.41994619519589,436.3989913139735
6,57.479258417158455,460.0727275396813
7,54.55615544559264,442.324930360492
8,63.8201708975958,479.59574193975874
9,54.477934187526564,440.9564275088713
10,54.902134997072466,443.0353225239119
11,59.87218902244353,471.1687336298739
12,68.32805720849223,492.8563336078215
13,57.01830373803978,452.61665816799103
14,52.08864814626849,439.4564536553584
15,52.12902916917661,431.38440831523263
16,55.42267873094669,444.3316808321258
17,65.33461356423113,489.2035644757009
18,52.295966913725124,434.77281257227753
19,54.11104762997962,440.018312153929
20,61.2772613572481,476.73182478033044
