Iteration,Fitness,AParameter,Distance,Diversity
1,97.67725853599713,1.9975,621.8537779222129,970.4764222802212
2,59.54147420234091,1.995,483.89927327858885,751.6824908737583
3,50.503215817010364,1.9925,444.9565077842596,619.6543075977469
4,48.9063910519025,1.99,437.6059093709315,528.1820781257915
5,32.484569893230926,1.9875,354.8778344805965,535.2542825241424
6,22.205812598740117,1.985,291.24475297289905,417.43383289717724
7,9.347385192429165,1.9825,182.7270606725791,324.61881891425617
8,7.134829090123463,1.98,156.65721995102191,296.02040452875747
9,3.9948651567838755,1.9775,109.49344854011444,272.10161702257926
10,3.8742495486323274,1.975,107.22331181938202,260.9129642141531
11,8.239566352379605,1.9725,170.12883089178862,241.77526436681688
12,5.110271131650083,1.97,128.2421256419425,239.3522658086553
13,7.17626477950986,1.9675,156.73826572637353,239.16333278232096
14,4.72747428052846,1.965,122.09182200526452,227.13514402166228
15,5.1751667368554175,1.9625,129.22005394364888,237.2308790257964
16,2.17176763837101,1.96,68.48083992167653,250.8870573087013
17,4.979607280977919,1.9575,126.16939378311857,237.34505301952444
18,5.922432082403103,1.955,140.31989654052467,224.92177616313012
19,6.71651584708966,1.9525,151.21530097139637,228.71495361024745
20,4.298556367313171,1.95,114.80639168389523,210.68250473871157
21,7.956704841636523,1.9475,166.82999054982267,237.16535128196557
22,5.294342246462101,1.945,131.0585361420266,253.0029503792426
23,7.96741491687071,1.9425,166.6550316273979,260.27539088967603
24,9.21768713738669,1.94,181.29650207360976,260.56673323379994
25,9.365919388350003,1.9375,182.93072818326817,255.7910207557755
26,10.73020794909817,1.935,197.2861895746551,260.4509974714303
27,9.081715220629448,1.9325,179.80691503081752,218.779244108843
28,7.767358600523553,1.93,164.52281115015083,215.03902157343822
29,7.178776965167338,1.9275,159.9305331952684,197.60322701267242
30,5.80159848998107,1.925,139.70952826579764,166.97355810418145
31,6.324415652823766,1.9225,146.01233904928844,181.57508722931885
32,7.2651121945683075,1.92,158.0475495757087,216.00442744131993
33,3.544595343584052,1.9175,100.88862064937096,201.0914157913887
34,4.162488226272328,1.915,112.47448923766854,156.07292709176116
35,4.761746952467507,1.9125,122.64604216620069,166.99962994418436
36,4.1702053628965885,1.91,112.5965765145962,177.58869427177018
37,3.730062398387878,1.9075,104.5020801608098,191.2856434898574
38,4.678125228359853,1.905,119.3423582911078,222.57709926644105
39,3.0976862847435673,1.9025,91.3740212764822,219.58778009683655
40,3.14622686631729,1.9,92.67583357672407,194.40545731671938
41,5.7745959139751255,1.8975,138.20106648327928,205.94302665308064
42,4.672461571297804,1.895,121.20139466674298,203.12538653588283
43,4.430527438112115,1.8925,117.1065495761531,196.5002261869569
44,3.7052958375669647,1.89,104.03047997046517,203.0277967168593
45,3.855324149201989,1.8875,106.92267058086784,199.90311217514156
46,3.24184142875695,1.885,94.8294513938601,182.6282937975257
47,5.489849552712773,1.8825,134.17723218992066,182.5296605132366
48,7.066816502747285,1.88,155.78096817240643,205.0346336506383
49,2.5970735833580436,1.8775,79.90272927676192,221.51907298105817
50,2.3334324774130715,1.875,79.79488908579589,203.5607447100257
51,2.652315967389488,1.8725,81.25816309171732,183.03865005181353
52,4.79062856054197,1.87,123.08214743757664,162.6126071552846
53,5.801033966080276,1.8675,138.69065104139608,157.23826903394865
54,4.445643471064582,1.865,117.3861933892367,141.11270836928188
55,3.8027745744260146,1.8625,105.88250434725244,166.93316541391596
56,4.889073165495104,1.8599999999999999,124.72533487876728,193.00678127352649
57,4.319947107258019,1.8575,115.20367198929111,177.54096083590457
58,3.4577458829448093,1.855,99.03734309143042,184.53358318331385
59,3.8969843502908175,1.8525,107.55924871848345,186.16649107610996
60,3.223279691062557,1.85,93.5720349508557,200.38355467577023
61,2.4403399914636474,1.8475,75.9300419587383,182.57717677318914
62,3.3350736981061404,1.845,96.75148306028952,196.16085407179278
63,4.448200106751169,1.8425,117.44430792279756,202.5340597639162
64,2.2884471992428193,1.84,71.70005437147157,180.17960898907
65,3.3900768497922846,1.8375,97.77650245081742,188.46650155570165
66,4.689019904470502,1.835,121.47414210339575,174.02940968616153
67,4.386441297805807,1.8325,116.3853328750506,178.12129180287718
68,3.8524201688010007,1.83,106.86746018066593,192.90015229753982
69,3.910482724726441,1.8275,107.89502524836479,183.05859362006382
70,7.044528909145185,1.825,155.49748689476618,215.92545356965593
71,5.259993278472149,1.8225,130.53734340707155,203.0949302725143
72,5.393003457071034,1.82,131.44544895089015,192.56067218375617
73,6.731098936037327,1.8175,151.40765118722123,191.23581661056204
74,3.8837743477810176,1.815,107.44505769221648,196.19750756180676
75,3.175893158058792,1.8125,93.33122735593774,172.1683762934208
76,3.813921259991271,1.81,105.46234726281573,154.82069087179306
77,2.235385424158464,1.8075,79.40987195592358,150.3156409406997
78,2.5592390966095566,1.805,78.94433200643529,140.50611983702555
79,4.306886037301767,1.8025,115.00570629756331,163.47699085183766
80,3.7853765197348372,1.8,105.55394922761535,152.79816234260466
81,3.5884234505504384,1.7974999999999999,101.74589900707868,155.23958767880043
82,4.263339866326093,1.795,114.25130211442796,166.44272644914858
83,3.010651195605242,1.7925,89.7093682548575,160.0234157498982
84,2.684775940455985,1.79,81.91316620395179,157.3868215641226
85,2.0883361980270925,1.7875,65.98290946770413,159.03519615083468
86,2.8227920972610274,1.785,85.15471809449255,166.9573519417084
87,2.7779582981365407,1.7825,83.35627582723902,170.2976236930281
88,2.375186061770066,1.78,74.16700223850108,163.6920665791241
89,2.7669988540732993,1.7775,85.99802471043915,143.02450498271614
90,4.194818307565947,1.775,112.6840012578836,152.68392035258663
91,4.0921143762856165,1.7725,113.82492090129489,159.0601980198363
92,2.7001993254714622,1.77,82.85405134180348,151.5403246307803
93,2.9953341858854126,1.7675,91.4916613684067,131.17443868307265
94,2.84606337070039,1.765,85.94525063777948,128.03624470578626
95,3.0553052555690012,1.7625,90.68824280116328,145.83423122505343
96,3.9777091434679415,1.76,109.13346209003532,157.02132905879938
