Iteration,Fitness,AParameter,Distance,Diversity
1,64.01531353472309,1.9975,502.0547620387899,892.0362738672198
2,56.770828305328315,1.995,472.3265372179971,851.1155001172743
3,43.73542878740981,1.9925,413.45077398045885,583.3763341356732
4,17.672636254744543,1.99,258.0254097283916,576.5161468169852
5,30.68192383577851,1.9875,343.2854228982948,561.2154502268431
6,45.35831917954606,1.985,421.2258470382594,562.8269727258938
7,36.38785560483524,1.9825,376.23309141454877,584.8705427860809
8,50.72797499878358,1.98,446.48430259804496,517.8940684839547
9,57.352379776075686,1.9775,474.7708880340668,503.6636265686907
10,61.705437655975025,1.975,492.7666798292445,573.0126974222469
11,82.86506396253262,1.9725,572.2404979795325,629.8373118724311
12,47.66999628520345,1.97,432.0718748347368,633.6251229103189
13,61.204819766699494,1.9675,490.733434110204,591.6327055521142
14,50.05081918181653,1.965,442.94771215412294,567.0848190790264
15,28.08661144419101,1.9625,329.1856259205558,598.6458223545554
16,41.85069523806607,1.96,404.21566415513314,544.1955906895728
17,77.47061675751495,1.9575,553.0664218861532,673.9085601305186
18,100.17921717927523,1.955,629.8671130566726,684.8856907347861
19,78.85479934634671,1.9525,558.0332324254912,634.2659026898637
20,77.91619891129686,1.95,554.7078875742658,543.0947909066856
21,71.28762512370182,1.9475,530.2363058067162,493.9919497848412
22,75.64175652550088,1.945,546.4076700019033,478.37824201032436
23,76.62455830898736,1.9425,549.9983947473912,494.15648685020807
24,76.19431037818424,1.94,548.4313402168779,515.5839683572435
25,64.51660692708356,1.9375,504.0195477016737,436.9697223927116
26,63.54131318025727,1.935,500.16393385718834,396.09329649653387
27,57.8871140503976,1.9325,477.02367864181394,398.7956163920491
28,61.8650598430115,1.93,493.4169866344236,495.36378584664106
29,69.07493714087965,1.9275,521.8243154779072,608.7173890563781
30,53.67695247015,1.925,459.0281532073522,541.9900708906197
31,57.22526184117814,1.9225,474.23794976957646,521.5313536269608
32,45.63354106102197,1.92,422.5333293605273,612.5185691411486
33,72.80663865273586,1.9175,536.1959358162129,641.919710510394
34,51.007872571206754,1.915,447.2375627346536,584.3538944977315
35,39.97820821536125,1.9125,394.8714608595291,492.00438387865853
36,45.5361836463163,1.91,422.15917448797916,513.8345350917075
37,46.41648790530443,1.9075,426.2454630740378,541.5371499480943
38,62.37827603806959,1.905,495.50332947052243,580.9403131055417
39,46.837741243032134,1.9025,428.1922878651473,608.8453758712312
40,42.70236915872106,1.9,408.4186020431083,661.7593528186101
41,38.450988362099245,1.8975,387.0657749408696,594.520580750818
42,42.89437513395673,1.895,409.75539902653895,595.9826479439495
43,45.429549514587265,1.8925,421.568114019296,557.6169662945128
44,41.549741551177085,1.89,402.7393288846346,548.522393244134
45,47.42491001082394,1.8875,430.92870517201675,513.0211512693769
46,45.60931566797242,1.885,422.29325080356466,559.2567212080548
47,61.619302465917826,1.8825,492.4197786001438,596.5645284389159
48,47.30780232793883,1.88,430.3806669658288,519.5429306315608
49,50.68974981870569,1.8775,445.81463417001066,620.1814616876882
50,33.1924978457197,1.875,358.8453618410278,618.1630999422316
51,49.45584255197444,1.8725,440.1951539539994,552.9007398625216
52,60.52603428958868,1.87,487.9593703536071,500.0632560273674
53,47.07964303162115,1.8675,429.3135267444421,438.43720823084504
54,48.936052281336615,1.865,437.8854487768021,513.7226674169908
55,31.083168266334624,1.8625,346.88833839301503,517.7616240869887
56,47.278689437153794,1.8599999999999999,430.2494566053773,548.6242204367188
