Iteration,Fitness,AParameter,Distance,Diversity
1,68.98297216900158,1,3.80461745634913,3.8567021896064393
2,69.94715730340927,1,3.78530146715262,3.2169307425287856
3,71.00656379051055,1,4.11445547417578,3.8363271767788114
4,69.36755609084392,1,4.158780830093604,3.0814826958239623
5,59.74633023358154,1,4.018400670375618,3.888148758817361
6,60.48677884425845,1,3.0942050592198576,3.4952429379002035
7,56.269936012695304,1,3.5514373556636873,3.6672222404182815
8,50.821229666478466,1,3.515982438474039,2.993694458235402
9,48.81862488481972,1,3.484600429791972,2.8118700726573103
10,49.75831883282279,1,4.441403969395488,2.716056894491197
11,42.39186831782874,1,2.5601047566720156,2.4218329387570883
12,30.510346197510557,1,2.621474749165083,2.5894580805267533
13,33.92724116172894,1,2.6380313637320074,2.2113854325766185
14,40.62754210644259,1,2.6584964370594366,1.9076350477251933
15,47.91208680891384,1,2.7225160082495314,2.10213635780204
16,52.1747772469284,1,2.850642377484704,1.7762680192976277
17,53.766603461216874,1,3.439622455241466,2.127162358163106
18,59.273350791450916,1,3.4881464347070863,2.2181605024193165
19,45.36277102919984,1,3.3381717558679496,2.1766507481287043
20,49.86810289161222,1,3.3879864464939886,1.8675189840018434
21,56.04998656985077,1,3.4373999217058,1.79285693508376
22,57.35193078981993,1,3.564103019756942,1.651233996058629
23,59.81405165702678,1,3.6096125811749538,1.753847981459325
24,60.475199344961354,1,3.721124119492728,1.8579516442005508
25,42.31288150570821,1,2.873625440937632,1.6415599430536743
26,41.367627684935826,1,2.8971862020617944,1.6918039493008277
27,41.565329857580416,1,2.9205059862540046,1.5975976074918021
28,42.694512564736854,1,2.943285963332292,1.674791568738427
29,44.54104780985305,1,2.9652493702739893,1.206521788487541
30,44.48518411098736,1,3.000815752663154,1.927583453672569
31,44.184178064758186,1,2.9294224478763016,1.7416404646569288
32,42.41436329712238,1,3.2718243220840395,1.7760993838117256
33,43.07190525198038,1,3.2831452620434334,1.5219375087285332
34,43.328892573450915,1,2.962464352442046,1.4726306704830414
35,39.094392720668836,1,3.0933106966051964,1.920210159674163
36,39.39797468582725,1,3.0977614394641533,1.963701516758383
37,33.67071884669656,1,3.0966982982883486,1.5770945957384543
38,33.613385622656736,1,3.118806718979847,1.7691915906540374
39,33.94941691724402,1,3.1205798542184744,1.5324091985126156
40,34.06506758317772,1,3.121174786506032,1.604950460292176
41,33.94941691724402,1,3.1205798542184744,1.2617750122069915
42,27.514033415156362,1,3.183240999265038,1.5153268157078537
43,26.19788381650325,1,3.2097485155463987,1.2568961427486425
44,25.961419229361738,1,3.2062260380212972,1.187817032023568
45,25.123659307488467,1,3.1711881495786476,1.0332831465585544
46,24.223655424136766,1,3.165208846029728,1.2220047783151886
47,22.821475770161697,1,3.0969630497636342,1.113778980301704
48,22.30073088290034,1,3.089320212954335,1.0326618369070615
49,21.84393445582684,1,3.0818778100798294,1.2469891685630798
50,19.073828025366765,1,3.035210926072561,1.0629456521768856
51,20.754588599770926,1,3.0263817853723602,1.0743780829536624
52,19.7193075470458,1,3.0227093621772396,1.023547685932149
53,17.67566159566323,1,3.1052693851904367,1.2222372769981553
