Run,OfflineError,TrackingError
1,10372.38251346811,3.2984079978798553
2,4684.977133911799,4.718972741570791
3,1969.1798950142165,3.2811272469308936
4,5638.830210495902,3.8153395038839557
5,26705.589699274595,3.8961586748634414
6,10111.605928453399,4.507872343051209
7,7643.65264501537,4.455800346987513
8,13277.967896129454,4.829041989231727
9,14651.177231042951,4.487395337452495
10,4215.745189460887,6.735990534129394
11,1661.4421793529277,3.9530404485176684
12,11498.582455197833,5.450404029821181
13,27183.174724731856,4.206147396838983
14,18970.002158947853,4.671204439793029
15,10060.674757955254,3.9986801733589825
16,9216.464973533646,6.211513955955053
17,5880.6562146287815,5.637743800115402
18,8060.425834544195,6.573970202126632
19,13207.603893275249,4.3094635483481065
20,5017.378123063731,5.281185716411783
