Iteration,Fitness,AParameter,Distance,Diversity
1,22728.151237969036,8,5.49404945364651,4.006310985256028
2,14759.285418357797,7,5.811841889957834,4.654079070688066
3,8355.161157538636,7,9.075606744246938,5.264824949042972
4,6974.342508911602,6,10.84002105163682,5.889243796885281
5,5769.29804211217,5,9.213625422752743,5.6614423001407985
6,2810.8588404866296,4,9.663722831799129,5.715641583272185
7,2082.480707349241,3,9.673495390210357,5.0460054418652085
8,1675.7008874988194,2,10.352533875835588,5.384471034792722
9,1591.1818166554317,1,9.674029470461296,3.08291190655345
10,1110.26689314006,1,9.116045393442766,3.422215727588282
11,1102.3615390246248,1,9.111900875610468,2.619408171626726
12,1094.5672141035966,1,9.107769911926443,2.884895111325863
13,273.71590718335534,1,9.802480788940121,2.6608701062453806
14,276.37438505430856,1,9.798998672600092,2.7763491998879455
15,279.14668298437584,1,9.795529674484,2.6798924718592407
16,282.0322673730109,1,9.792073808533862,2.2833595708311334
17,266.3492585704293,1,9.69191631942413,2.3433885758607054
18,266.5174471348301,1,9.688903346442446,2.284760168291123
19,266.8228963264957,1,9.685903954752362,2.260450467584758
20,267.2652079658228,1,9.682918156974749,2.16898182313432
21,267.84398814469193,1,9.679945965688812,1.9020354188604087
22,268.5588472264684,1,9.67698739343185,1.9225026621882286
23,269.40939984600186,1,9.674042452699014,1.6326366657449682
24,270.3952649096263,1,9.671111155943073,1.631916716422035
25,262.967862555051,1,9.74865401712913,1.6296846770055986
26,259.92272296995213,1,9.745533363438671,1.3577810601771467
27,257.0217523314997,1,9.742426144452141,1.423916290388875
28,249.0368160175017,1,10.088236244395254,1.575436316596174
29,134.59478801871768,1,9.395345382471515,1.4743194242932103
30,133.30409665031965,1,9.391371451163812,1.9650140235768805
31,132.1163339622567,1,9.387410817767618,1.7039345581413032
32,131.0308172842527,1,9.383463499121545,1.6793955630038693
33,130.0468682175155,1,9.379529512035887,1.478511231552986
34,129.16381263473752,1,9.375608873292336,1.543692246961892
35,128.38098068009592,1,9.371701599643675,1.3983517810147796
36,127.697706769252,1,9.36780770781348,1.1388007741717605
37,112.62580617310225,1,9.342792070848525,1.096098402204016
38,112.43532531226842,1,9.338856517749221,0.9012152441306596
39,112.34446368824322,2,9.334934369833787,6.922055950479632
40,112.35255167016908,2,9.331025644006193,7.223748197263936
41,98.52767573749333,2,9.359908755800195,6.056583624151213
42,98.42324301758609,1,9.355783429000155,0.856517246411434
43,98.42111343295718,1,9.351671319812446,0.7311480480250101
44,94.78401298450103,2,9.414824073262569,7.334325882854801
45,79.14017191031358,2,9.397631158014592,7.991470326322821
46,80.06604865915068,1,9.39339656200464,0.738052997833725
47,68.88632416696774,1,9.3497905675766,0.7101963647585482
48,70.7974712968941,1,9.345435236659746,0.5917580487739735
49,72.75161986463523,2,9.332434009213875,6.18081029270209
50,64.63550028912107,2,9.264280518995763,6.064695557687992
51,66.26052012637459,2,9.259903967592214,6.278010517166781
52,63.08620293718895,2,9.180612036943007,5.97890739951855
53,49.184955147393374,2,8.958712694533295,5.51176020674269
54,50.2783292989036,2,8.954224332550929,5.229174255751879
55,43.83949726440139,2,8.86852674037523,5.282795813141183
56,36.97890288577305,2,8.952778942990172,5.184069262433244
57,36.7902787619602,2,8.933737471452186,4.790233237037581
58,33.16303419684013,2,8.80694145927367,4.64694154540968
59,23.81258389859429,2,8.781235068051666,4.627107199989553
60,24.355039885779938,2,8.776330836673472,4.438153805804279
61,25.009197656022323,2,8.771439895428285,4.337132950530144
62,25.77411301125194,2,8.766562266560152,4.241010285806438
63,23.11079757964192,2,8.699575471477653,4.15060914960674
64,24.000099422501442,2,8.69479520652767,4.119120436630353
65,24.71505198327749,2,8.444605050866764,4.14631258355118
66,24.47203562151924,2,8.418929295412704,4.15954696301636
67,24.821244795649093,2,8.709030608976848,4.008238052122191
68,25.02130861751916,1,8.861104036279194,0.45821762659394155
69,25.360384832218134,1,8.70837026148066,0.42416471770007824
70,26.075611595872537,1,8.703670742950132,0.4581102370659787
71,26.11516226226833,2,8.65774649017775,5.740837677578274
72,26.152184962792575,1,8.567633564508034,0.5254608237197584
73,25.649965150937447,1,8.501749622545214,0.5339566331823872
