Run,OfflineError,TrackingError
1,5.721841817317963,1.8602259805573729
2,2.411311457509952,1.4425423409422324
3,2.1435040362459925,1.3650057754659028
4,2.460268595929035,1.461047443213155
5,2.643663561566517,1.5121124554461973
6,2.34189541739299,1.421322791581206
7,2.459514644680957,1.4636923016081915
8,2.5073150675431637,1.4776662274836943
9,2.3620334579319224,1.4468861604122716
10,2.0858143744227164,1.3508151395631096
11,2.6407603894422067,1.5094819875964667
12,2.4133599059536732,1.4569857772644936
13,2.3225952419334353,1.4294032121811326
14,2.2353035172569173,1.3987654516390555
15,2.249219330596864,1.4047604612973992
16,2.579721453809368,1.4984048518300286
17,2.5116747866878906,1.4957643114197061
18,2.4067719546236415,1.4532997336280147
19,2.545315865288344,1.488452905306261
20,2.444054011931939,1.4657208710559697
