Iteration,Fitness,AParameter,Distance,Diversity
1,3924.7880933360734,3,62.64812920858909,42.23110490637722
2,3658.152708997636,2,60.48266453288608,64.09008278482115
3,2490.8087895721005,1,49.90800326172247,49.35108284671004
4,2490.8087895721005,1,49.90800326172247,39.05725702941698
5,2268.791258232197,1,47.63183030529267,31.8814009269798
6,1832.0091908194886,1,42.80197648262856,31.684071114386082
7,1710.8350589232866,1,41.362241947497076,33.6593607552297
8,1710.8350589232866,1,41.362241947497076,29.101696629960472
9,1629.1789689770849,1,40.36308919021294,30.560483319265234
10,1629.1789689770849,1,40.36308919021294,27.83736609312544
11,1609.0031977307315,1,40.112382099929334,27.59408190929416
12,1399.7389937697424,1,37.41308586269973,26.965484961898323
13,1399.7389937697424,1,37.41308586269973,26.199556540214957
14,1357.2427715306903,1,36.84077593551322,23.902806919369905
15,1355.1162599609015,1,36.811903780718836,26.063767785876518
16,1355.1162599609015,1,36.811903780718836,24.64857656508035
17,1313.8392291450955,1,36.24692027117746,22.132070964995652
18,1308.4980521156497,1,36.17316757094476,22.213203496621617
19,1308.4980521156497,1,36.17316757094476,19.158964315509166
20,1308.4980521156497,1,36.17316757094476,18.663453419791455
21,1306.9162745974652,1,36.15129699744485,19.05602372092129
22,1278.5055489179404,1,35.75619595144232,17.035190805291453
23,1277.2035664715734,1,35.7379849246089,17.51000294444572
24,1263.7832318720639,1,35.54972899857415,15.48686901244372
25,1263.7832318720639,1,35.54972899857415,14.343906326205538
26,1262.158972271339,1,35.526876759311946,13.077719635333345
27,1261.9790382396045,1,35.52434430414733,11.322040183536226
28,1260.2324071001183,1,35.49975221181295,11.08590254995578
29,1260.2324071001183,1,35.49975221181295,9.129667881369416
30,1260.2324071001183,1,35.49975221181295,8.912168359776116
31,1253.0245171042236,1,35.398086348053106,8.943200099698874
32,1253.0245171042236,1,35.398086348053106,8.555843049918519
33,1252.8956546002735,1,35.396266110993594,7.886584619583731
34,1252.8956546002735,1,35.396266110993594,7.141648323458395
35,1252.8956546002735,1,35.396266110993594,6.153857405398384
36,1252.3132516195499,2,35.3880382561615,45.376700102148
37,1252.3132516195499,1,35.3880382561615,6.118624775848922
38,1252.2588129078051,2,35.38726907954053,51.02665280505448
39,1251.8870425310338,1,35.3820158064946,4.990337555098994
40,1251.8870425310338,2,35.3820158064946,50.68341596119614
41,1251.8870425310338,2,35.3820158064946,42.82771112848005
42,863.1648599348982,2,29.379667457867836,37.03575964505872
43,863.1648599348982,2,29.379667457867836,36.125005453295046
44,863.1648599348982,2,29.379667457867836,36.808395453021994
45,863.1648599348982,2,29.379667457867836,35.52070297631617
46,863.1648599348982,2,29.379667457867836,30.443755903179817
47,831.7319964222585,2,28.83976415337439,30.606835350541097
48,367.50044883537754,2,19.17030121921347,26.602516808371476
49,367.50044883537754,2,19.17030121921347,27.934619383477173
50,321.73438615110024,2,17.936955877492153,24.73588594842673
51,239.5897272445314,2,15.478686224758592,24.256753909352966
52,230.48701050738663,2,15.181798658505079,24.580346614280696
53,230.48701050738663,2,15.181798658505079,24.901626656392512
54,141.12586030650266,2,11.879640579853527,23.799325444180628
55,134.93308166752695,2,11.61606997514766,22.741683404353868
56,134.93308166752695,2,11.61606997514766,22.177520909491808
57,85.58285561454873,2,9.251100238055402,23.47116481641581
58,85.58285561454873,2,9.251100238055402,23.830250286575435
59,79.78291264554409,2,8.932128114035539,21.80739889788756
60,72.61515887404852,2,8.521452861692572,20.402045138217435
61,53.22826392096884,2,7.295770276055082,20.138161307919713
62,53.22826392096884,2,7.295770276055082,20.6404360339106
63,34.996724057928766,2,5.91580290898275,20.35342790302838
64,24.624835874118176,2,4.9623417732073,18.795901509021416
65,24.624835874118176,2,4.9623417732073,18.454799944569356
66,22.56521256126536,2,4.750285524183295,19.102048281645292
67,19.555563480597495,2,4.422167283199212,20.04849759922813
68,7.221077100893857,2,2.687206188756988,19.711038730276837
69,7.221077100893857,2,2.687206188756988,19.337619907966552
70,7.221077100893857,2,2.687206188756988,19.221268609045506
71,7.221077100893857,2,2.687206188756988,19.054372972175212
72,6.102335664307265,2,2.470290603209927,19.32454995944841
73,6.102335664307265,2,2.470290603209927,19.45212717665968
74,6.102335664307265,2,2.470290603209927,19.63853608585522
75,2.7707272594996564,2,1.6645501673123753,19.164233386152517
76,2.7707272594996564,2,1.6645501673123753,18.478872317620404
77,2.7707272594996564,2,1.6645501673123753,19.349956343065966
78,2.7707272594996564,2,1.6645501673123753,18.906237552641343
79,2.7707272594996564,2,1.6645501673123753,18.651791327019108
80,2.676421907667645,2,1.63597735548743,18.74285598746623
81,2.270495448348612,2,1.5068163286706884,18.456426163564753
82,2.270495448348612,3,1.5068163286706884,36.032416632285994
83,1.9930125578770617,2,1.4117409669897172,18.33669939918028
84,1.9930125578770617,2,1.4117409669897172,18.433383827662826
85,1.9930125578770617,2,1.4117409669897172,18.10988530421766
86,1.9930125578770617,3,1.4117409669897172,40.67625778305392
87,1.4704769647303944,2,1.212632246285078,18.06082502156806
88,1.3752912811801241,3,1.1727281360912785,41.64856799667716
89,1.274471422390786,3,1.1289248967007441,39.98433118927181
90,1.1698692582579568,3,1.0816049455591246,37.10658282211749
91,1.1698692582579568,3,1.0816049455591246,32.48892325541748
92,1.1155101315828695,3,1.056177130780093,31.15161256008351
93,1.053708973284753,3,1.026503274853399,28.899422109682952
94,0.5532845359602702,3,0.7438309861522778,27.570869958162397
95,0.4112804099019228,3,0.64131147650882,27.214201903814754
96,0.4112804099019228,3,0.64131147650882,26.610430820135704
97,0.4112804099019228,3,0.64131147650882,26.82807917879197
98,0.39884699530449885,3,0.6315433439634202,24.973625192073467
99,0.3433356443376656,3,0.5859484997315597,23.607668964155707
100,0.2306934003662457,3,0.48030552814458183,22.837679859989414
101,0.2306934003662457,3,0.48030552814458183,22.374706605589534
102,0.2306934003662457,3,0.48030552814458183,21.363882639997584
103,0.2306934003662457,3,0.48030552814458183,21.027644042616338
104,0.18160060580397924,3,0.4261462258473953,20.666752648598163
105,0.1459695065835764,3,0.3820595589480473,19.814159743808414
106,0.1459695065835764,3,0.3820595589480473,19.81917875090286
107,0.12534123546806064,3,0.3540356415222352,19.283123964707176
108,0.12534123546806064,3,0.3540356415222352,19.14431390924731
109,0.054550778222521315,3,0.23356108028205666,18.34196025080555
110,0.054550778222521315,3,0.23356108028205666,18.391570827415215
111,0.044944636094262726,3,0.21200150021700961,18.31607860365473
112,0.03561508155298381,3,0.18871958444470943,17.975069451656374
113,0.03561508155298381,3,0.18871958444470943,17.91987387271062
114,0.03561508155298381,3,0.18871958444470943,17.554178056883003
115,0.03561508155298381,3,0.18871958444470943,17.780442685856748
116,0.03561508155298381,3,0.18871958444470943,17.416509875829977
117,0.03078370538811061,3,0.17545285802206417,17.149317822945704
